source,unit_id,year,volume,issue,doi,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r1,https://openalex.org/W2121743800,Analysis of the platypus genome suggests a transposon origin for mammalian imprinting,Andrew J. Pask; Anthony T. Papenfuss; Eleanor I Ager; Kaighin A. McColl; Terence P. Speed; Marilyn B. Renfree,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r1,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r1.pdf,https://doi.org/10.1186/gb-2009-10-1-r1
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r6,https://openalex.org/W2101952636,Characterization and comparative profiling of the small RNA transcriptomes in two phases of locust,Yuanyuan Wei; Shuang Chen; Pengcheng Yang; Zongyuan Ma; Le Kang,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r6,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r6.pdf,https://doi.org/10.1186/gb-2009-10-1-r6
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r4,https://openalex.org/W2128581162,Insight into the molecular requirements for pathogenicity of Fusarium oxysporum f. sp. lycopersici through large-scale insertional mutagenesis,Caroline B. Michielse; Ringo van Wijk; Linda Reijnen; Ben J. C. Cornelissen; Martijn Rep,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r4,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r4.pdf,https://doi.org/10.1186/gb-2009-10-1-r4
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r2,https://openalex.org/W2096924683,Comparative analysis of processed ribosomal protein pseudogenes in four mammalian genomes,Suganthi Balasubramanian et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r2,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r2.pdf,https://doi.org/10.1186/gb-2009-10-1-r2
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r9,https://openalex.org/W2118580291,Profiling RE1/REST-mediated histone modifications in the human genome,Deyou Zheng; Keji Zhao; Mark F. Mehler,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r9,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r9.pdf,https://doi.org/10.1186/gb-2009-10-1-r9
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r7,https://openalex.org/W2165370583,A genome-wide genetic signature of Jewish ancestry perfectly separates individuals with and without full Jewish ancestry in a large random sample of European Americans,Anna C. Need; Dalia Kasperavičiūtė; Elizabeth T. Cirulli; David B. Goldstein,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r7,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r7.pdf,https://doi.org/10.1186/gb-2009-10-1-r7
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r8,https://openalex.org/W2122310325,Characterization of taxonomically restricted genes in a phylum-restricted cell type,Sabine Milde; Georg Hemmrich; Friederike Anton‐Erxleben; Konstantin Khalturin; Jörg Wittlieb; Thomas C. G. Bosch,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r8,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r8.pdf,https://doi.org/10.1186/gb-2009-10-1-r8
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r3,https://openalex.org/W2124238525,Studying alternative splicing regulatory networks through partial correlation analysis,Liang Chen; Sika Zheng,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r3,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r3.pdf,https://doi.org/10.1186/gb-2009-10-1-r3
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r5,https://openalex.org/W2118762870,Development and application of versatile high density microarrays for genome-wide analysis of Streptomyces coelicolor: characterization of the HspR regulon,Giselda Bucca et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r5,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r5.pdf,https://doi.org/10.1186/gb-2009-10-1-r5
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r11,https://openalex.org/W2107962681,Global analysis of alternative splicing regulation by insulin and wingless signaling in Drosophilacells,Britta Hartmann; Robert Castelo; Marco Blanchette; Stéphanie Boué; Donald C. Rio; Juan Valcárcel,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r11,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r11.pdf,https://doi.org/10.1186/gb-2009-10-1-r11
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r10,https://openalex.org/W2137176543,Coding region structural heterogeneity and turnover of transcription start sites contribute to divergence in expression between duplicate genes,Chungoo Park; Kateryna D. Makova,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r10,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r10.pdf,https://doi.org/10.1186/gb-2009-10-1-r10
Genome Biology,genome_biology_v10_i1,2009,10,1,10.1186/gb-2009-10-1-r12,https://openalex.org/W2113198689,Universal features in the genome-level evolution of protein domains,Marco Cosentino Lagomarsino; Alessandro Luigi Sellerio; Philip Heijning; B. Bassetti,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-1-r12,https://link.springer.com/content/pdf/10.1186/gb-2009-10-1-r12.pdf,https://doi.org/10.1186/gb-2009-10-1-r12
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r108,https://openalex.org/W2097160089,Genomic DNA k-mer spectra: models and modalities,Benny Chor; D. Horn; Nick Goldman; Yaron Y. Levy; Tim Massingham,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r108,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r108.pdf,https://doi.org/10.1186/gb-2009-10-10-r108
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r109,https://openalex.org/W2146631202,A compiled and systematic reference map of nucleosome positions across the Saccharomyces cerevisiae genomes,Cizhong Jiang; B. Franklin Pugh,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r109,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r109.pdf,https://doi.org/10.1186/gb-2009-10-10-r109
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r111,https://openalex.org/W2167963418,Genome-wide comparative analysis of the Brassica rapa gene space reveals genome shrinkage and differential loss of duplicated genes after whole genome triplication,Jeong‐Hwan Mun et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r111,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r111.pdf,https://doi.org/10.1186/gb-2009-10-10-r111
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r118,https://openalex.org/W2142586675,Whole-genome resequencing of Escherichia coli K-12 MG1655 undergoing short-term laboratory evolution in lactate minimal media reveals flexible selection of adaptive mutations,Tom M Conrad et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r118,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r118.pdf,https://doi.org/10.1186/gb-2009-10-10-r118
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r115,https://openalex.org/W2142922493,Targeted next-generation sequencing of a cancer transcriptome enhances detection of sequence variants and novel fusion transcripts,Joshua Z. Levin et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r115,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r115.pdf,https://doi.org/10.1186/gb-2009-10-10-r115
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r103,https://openalex.org/W2121911035,ALLPATHS 2: small genomes assembled accurately and with high continuity from short paired reads,Iain MacCallum et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r103,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r103.pdf,https://doi.org/10.1186/gb-2009-10-10-r103
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r113,https://openalex.org/W2107619898,Preferential binding of HIF-1 to transcriptionally active loci determines cell-type specific response to hypoxia,Xiaobo Xia; Andrew L. Kung,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r113,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r113.pdf,https://doi.org/10.1186/gb-2009-10-10-r113
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r114,https://openalex.org/W2113031006,"Transcriptome analysis of functional differentiation between haploid and diploid cells of Emiliania huxleyi, a globally significant photosynthetic calcifying cell",Peter von Dassow et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r114,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r114.pdf,https://doi.org/10.1186/gb-2009-10-10-r114
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r116,https://openalex.org/W2158480761,Enrichment of sequencing targets from the human genome by solution hybridization,Ryan Tewhey et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r116,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r116.pdf,https://doi.org/10.1186/gb-2009-10-10-r116
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r110,https://openalex.org/W2128879290,NeMeSys: a biological resource for narrowing the gap between sequence and function in the human pathogen Neisseria meningitidis,Christophe Rusniok et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r110,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r110.pdf,https://doi.org/10.1186/gb-2009-10-10-r110
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r106,https://openalex.org/W2097758894,Draft genome sequence of the Daphnia pathogen Octosporea bayeri: insights into the gene content of a large microsporidian genome and a model for host-parasite interactions,Nicolas Corradi; Karen Luisa Haag; Jean‐François Pombert; Dieter Ebert; Patrick J. Keeling,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r106,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r106.pdf,https://doi.org/10.1186/gb-2009-10-10-r106
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r104,https://openalex.org/W2158711439,Molecular networks involved in mouse cerebral corticogenesis and spatio-temporal regulation of Sox4 and Sox11 novel antisense transcripts revealed by transcriptome profiling,King‐Hwa Ling et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r104,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r104.pdf,https://doi.org/10.1186/gb-2009-10-10-r104
Genome Biology,genome_biology_v10_i10,2009,10,10,10.1186/gb-2009-10-10-r117,https://openalex.org/W2144001195,Simultaneous transcription of duplicated var2csa gene copies in individual Plasmodium falciparum parasites,Kim Brolin et al.,article,gold,https://genomebiology.biomedcentral.com/counter/pdf/10.1186/gb-2009-10-10-r117,https://link.springer.com/content/pdf/10.1186/gb-2009-10-10-r117.pdf,https://doi.org/10.1186/gb-2009-10-10-r117
